name,price,rating,description
Asus VivoBook X441NA-GA190,$295.99,3,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd"
Prestigio SmartBook 133S Dark Grey,$299,2,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam"
Prestigio SmartBook 133S Gold,$299,4,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam"
Aspire E1-510,$306.99,3,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux"
Lenovo V110-15IAP,$321.94,3,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
Lenovo V110-15IAP,$356.49,2,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd"
Hewlett Packard 250 G6 Dark Ash Silver,$364.46,1,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS"
Acer Aspire 3 A315-31 Black,$372.7,2,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
Acer Aspire A315-31-C33J,$379.94,2,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG"
Acer Aspire ES1-572 Black,$379.95,4,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux"
Acer Aspire 3 A315-31 Black,$391.48,4,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
Acer Aspire 3 A315-21,$393.88,3,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux"
Asus VivoBook Max,$399,1,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home"
Asus VivoBook E502NA-GO022T Dark Blue,$399.99,4,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd"
Lenovo ThinkPad E31-80,$404.23,1,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home"
Acer Aspire 3 A315-31 Black,$408.98,4,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
Lenovo V110-15ISK,$409.63,3,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home"
Acer Aspire ES1-732 Black,$410.46,4,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home"
Asus VivoBook 15 X540NA-GQ026T,$410.66,4,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd"
Packard 255 G2,$416.99,2,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1"
